Time,Joint Name,Position,Velocity,Effort,Acceleration
287.879,ur5_elbow_joint,1.041913416609102,0.0038356093846202,10.319951005449782,0.153424375384808
287.903,ur5_elbow_joint,1.042018685849789,0.001627021794734,10.2204916577991,0.06508087178935999
287.927,ur5_elbow_joint,1.04212616054021,0.006788882512873,10.334906212512406,0.27155530051492
287.952,ur5_elbow_joint,1.042235264724054,0.0067837070201738,10.344654873416706,0.271348280806952
287.976,ur5_elbow_joint,1.0423375933925048,0.0017999203939228,10.229717001084731,0.071996815756912
288.001,ur5_elbow_joint,1.0424467065014635,0.0018052233805101,10.239712361397665,0.072208935220404
288.025,ur5_elbow_joint,1.042554013918532,0.0077437472093684,10.334025847464329,0.309749888374736
288.049,ur5_elbow_joint,1.0426553888168577,0.0038477942593629,10.386156503723086,0.15391177037451598
288.074,ur5_elbow_joint,1.0427645146084936,0.0038494214452423,10.395870330320207,0.153976857809692
288.098,ur5_elbow_joint,1.042869787846629,0.0016716047353956,10.298148199450097,0.06686418941582399
288.122,ur5_elbow_joint,1.0429772377936128,0.0067483169285799,10.410816419792106,0.269932677143196
288.147,ur5_elbow_joint,1.0430863631534215,0.0067431951368623,10.420519779306684,0.269727805474492
288.171,ur5_elbow_joint,1.0431887486568394,0.0018409822948852,10.307543425742612,0.073639291795408
288.196,ur5_elbow_joint,1.04329788269823,0.0018461790967091,10.317499924736516,0.073847163868364
288.22,ur5_elbow_joint,1.0434051676075793,0.0076891093309986,10.410292955549624,0.30756437323994396
288.244,ur5_elbow_joint,1.0435066194213205,0.0038615908900663,10.46180550078928,0.154463635602652
288.269,ur5_elbow_joint,1.0436157620742543,0.0038633428002821,10.471483070038506,0.154533712011284
288.293,ur5_elbow_joint,1.043721041916819,0.001714996073572,10.37550370464541,0.06859984294287999
288.318,ur5_elbow_joint,1.043830187852122,0.0017206828494811,10.385399610350296,0.06882731397924399
288.342,ur5_elbow_joint,1.0439376099817634,0.0067024898835467,10.496083600364337,0.268099595341868
288.366,ur5_elbow_joint,1.0440400573381323,0.0018821172977096,10.385070353817191,0.075284691908384
288.391,ur5_elbow_joint,1.0441492090873012,0.001887452676506,10.39499028993629,0.07549810706024
288.415,ur5_elbow_joint,1.0442564726282626,0.0076346837495203,10.48624806819659,0.30538734998081196
288.44,ur5_elbow_joint,1.0443656256658524,0.0076272870446795,10.495972368226832,0.30509148178718
288.464,ur5_elbow_joint,1.0444671601747784,0.0038771815427165,10.546790630469811,0.15508726170866
